player_name,player_type,match_format,avg,sr,last5_runs,high_score,wickets,econ,bowl_avg,catches,stumpings,matches,runs,total_balls_faced,balls_per_innings,score,cluster,levels,percent,percentile_score
A Gavde,Batsman,T20,1.0,16.666666666666664,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,3.5911111111111107,1,0,3.5911111111111107,13.964170877354157
A Gbla,Batsman,T20,11.703703703703704,109.72222222222223,33.0,55.0,28.0,4.799354838709678,7.901612903225806,5.0,0.0,31.0,316.0,288.0,10.666666666666666,32.39617283950617,2,1,32.39617283950617,58.10748736793753
A Gorawara,Batsman,T20,9.5,102.7027027027027,38.0,20.0,0.0,0.0,0.0,3.0,0.0,4.0,38.0,37.0,9.25,27.823783783783778,2,1,27.823783783783778,50.34451079467157
A Govorko,Batsman,T20,1.0,100.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,1.0,1.0,17.48,1,0,17.48,32.31511254019293
A Gulati,Batsman,T20,3.0,150.0,6.0,4.0,2.0,8.695,3.5,1.0,0.0,6.0,6.0,4.0,2.0,27.746666666666666,2,1,27.746666666666666,50.160771704180064
A Gupta,Bowler,T20,2.0,66.66666666666666,4.0,3.0,3.0,8.5825,8.25,0.0,0.0,4.0,4.0,6.0,3.0,35.302499999999995,1,0,35.302499999999995,22.52298263534219
A Halbhavi,Batsman,T20,10.923076923076923,99.3006993006993,23.0,48.0,0.0,0.0,0.0,5.0,0.0,14.0,142.0,143.0,11.0,28.87216783216783,2,1,28.87216783216783,52.22783647220947
A Harris,Batsman,T20,2.272727272727273,69.44444444444444,16.0,12.0,0.0,0.0,0.0,9.0,0.0,13.0,25.0,36.0,3.272727272727273,15.16922558922559,1,0,15.16922558922559,29.581993569131832
A Husain,Bowler,T20,3.6666666666666665,78.57142857142857,0.0,6.0,9.0,5.833636363636364,10.045454545454545,2.0,0.0,11.0,11.0,14.0,4.666666666666667,54.47181818181818,1,0,54.47181818181818,58.22267620020429
A Ilaoa,Wicketkeeper,T20,5.0,100.0,33.0,12.0,0.0,0.0,0.0,8.0,1.0,8.0,35.0,35.0,5.0,31.555555555555554,2,1,31.555555555555554,25.245901639344265
A Johnmary,Batsman,T20,6.333333333333333,76.0,19.0,10.0,0.0,0.0,0.0,1.0,0.0,3.0,19.0,25.0,8.333333333333334,19.075555555555557,1,0,19.075555555555557,35.277905374368395
A Johnson,Batsman,ODI,23.05263157894737,98.87133182844244,51.0,65.0,0.0,0.18421052631578946,0.0,10.0,0.0,19.0,438.0,443.0,23.31578947368421,40.26030969070532,2,1,40.26030969070532,63.70192307692307
A Johnson,Batsman,T20,29.35483870967742,147.24919093851133,43.0,121.0,0.0,0.9032258064516129,0.0,9.0,0.0,31.0,910.0,618.0,19.93548387096774,55.61809096287017,2,1,55.61809096287017,94.02847955902618
A Kadowaki Fleming,Batsman,T20,49.5,159.6774193548387,99.0,65.0,0.0,0.0,0.0,1.0,0.0,2.0,99.0,62.0,31.0,71.86623655913978,2,1,71.86623655913978,99.4487827285255
